Player,Team,Position_group,market_value_million,predicted_value_million
Jahmai Simpson-Pusey,Manchester City,DEF,5.0,7.8533333333333335
James Mcatee,Manchester City,MID,20.0,19.973333333333333
Jeremy Doku,Manchester City,MID,50.0,58.68
John Stones,Manchester City,DEF,25.0,7.8425
Joško Gvardiol,Manchester City,DEF,75.0,73.86
Kevin De Bruyne,Manchester City,MID,20.0,27.449166666666667
Kyle Walker,Manchester City,DEF,4.0,3.2421666666666664
Manuel Akanji,Manchester City,DEF,28.0,24.445833333333333
Mateo Kovačić,Manchester City,MID,20.0,22.915666666666667
Matheus Nunes,Manchester City,DEF,35.0,34.07333333333333
Nathan Aké,Manchester City,DEF,25.0,19.039833333333334
Nico O’Reilly,Manchester City,DEF,18.0,20.413333333333334
Nicolás González,Manchester City,MID,40.0,28.22
Omar Marmoush,Manchester City,MID,75.0,60.263333333333335
Phil Foden,Manchester City,MID,100.0,78.61333333333333
Rico Lewis,Manchester City,DEF,40.0,38.89666666666667
Rúben Dias,Manchester City,DEF,65.0,60.16
Stefan Ortega,Manchester City,GK,8.0,7.567666666666668
Sávio,Manchester City,MID,,52.406666666666666
İlkay Gündoğan,Manchester City,MID,5.0,10.463999999999999
Alejandro Garnacho,Manchester Utd,MID,45.0,43.71666666666667
Altay Bayındır,Manchester Utd,GK,8.0,7.505
Amad Diallo,Manchester Utd,MID,45.0,42.96666666666667
André Onana,Manchester Utd,GK,25.0,22.852333333333334
Antony,Manchester Utd,DEF,35.0,28.59
Ayden Heaven,Manchester Utd,DEF,5.0,16.44333333333333
Bruno Fernandes,Manchester Utd,MID,50.0,29.548333333333332
Casemiro,Manchester Utd,MID,10.0,9.211666666666666
Chidozie Obi-Martin,Manchester Utd,FWD,,20.083333333333332
Christian Eriksen,Manchester Utd,MID,4.0,5.5665000000000004
Diogo Dalot,Manchester Utd,DEF,30.0,30.976666666666667
Harry Amass,Manchester Utd,DEF,5.0,9.258333333333333
Harry Maguire,Manchester Utd,DEF,13.0,8.945166666666667
Jonny Evans,Manchester Utd,DEF,1.0,1.5468333333333333
Joshua Zirkzee,Manchester Utd,MID,30.0,28.49
Kobbie Mainoo,Manchester Utd,MID,50.0,42.17
Leny Yoro,Manchester Utd,DEF,55.0,44.333333333333336
Lisandro Martínez,Manchester Utd,DEF,40.0,28.98
Luke Shaw,Manchester Utd,DEF,12.0,10.342333333333332
Manuel Ugarte,Manchester Utd,MID,45.0,38.32333333333333
Marcus Rashford,Manchester Utd,MID,50.0,23.3
Marcus Rashford,Manchester Utd,MID,50.0,23.3
Mason Mount,Manchester Utd,MID,28.0,18.761666666666667
Matthijs de Ligt,Manchester Utd,DEF,38.0,33.88
Noussair Mazraoui,Manchester Utd,DEF,25.0,25.756666666666668
Patrick Dorgu,Manchester Utd,DEF,25.0,23.236666666666668
Rasmus Højlund,Manchester Utd,FWD,35.0,32.67333333333333
Toby Collyer,Manchester Utd,MID,5.0,10.836666666666666
Tyler Fredricson,Manchester Utd,DEF,3.0,5.488333333333333
Tyrell Malacia,Manchester Utd,DEF,8.0,8.886666666666667
Victor Lindelöf,Manchester Utd,DEF,8.0,9.285499999999997
Alexander Isak,Newcastle Utd,FWD,120.0,105.10666666666667
Anthony Gordon,Newcastle Utd,MID,65.0,59.446666666666665
Bruno Guimarães,Newcastle Utd,MID,80.0,71.28666666666666
Callum Wilson,Newcastle Utd,FWD,8.0,7.446833333333334
Dan Burn,Newcastle Utd,DEF,6.0,24.863333333333333
Emil Krafth,Newcastle Utd,DEF,2.0,5.319
Fabian Schär,Newcastle Utd,DEF,7.0,19.078333333333333
Harvey Barnes,Newcastle Utd,FWD,35.0,37.00333333333333
Jacob Murphy,Newcastle Utd,FWD,16.0,27.486666666666668
Joe Willock,Newcastle Utd,MID,22.0,22.663333333333334
Joelinton,Newcastle Utd,MID,35.0,35.11333333333334
